Colony,HDD,Cam,Event
SF1,STV7_4,CAM4,1
SF1,STV7_4,CAM4,2
SF1,STV7_4,CAM4,3
SF1,STV7_4,CAM4,4
SF1,STV7_4,CAM4,5
SF1,STV7_4,CAM4,6
SF2,STV7_3,CAM2,1
SF2,STV7_3,CAM2,2
SF2,STV7_3,CAM2,3
SF2,STV7_3,CAM2,4
SF2,STV7_3,CAM2,5
SF2,STV7_3,CAM2,6
SF3,STV7_4,CAM6,1
SF3,STV7_4,CAM6,2
SF3,STV7_4,CAM6,3
SF3,STV7_4,CAM6,4
SF3,STV7_4,CAM6,5
SF3,STV7_4,CAM6,6
SF4,STV7_4,CAM5,1
SF4,STV7_4,CAM5,2
SF4,STV7_4,CAM5,3
SF4,STV7_4,CAM5,4
SF4,STV7_4,CAM5,5
SF4,STV7_4,CAM5,6
SF5,STV7_4,CAM7,1
SF5,STV7_4,CAM7,2
SF5,STV7_4,CAM7,3
SF5,STV7_4,CAM7,4
SF5,STV7_4,CAM7,5
SF5,STV7_4,CAM7,6
SF6,STV7_3,CAM1,1
SF6,STV7_3,CAM1,2
SF6,STV7_3,CAM1,3
SF6,STV7_3,CAM1,4
SF6,STV7_3,CAM1,5
SF6,STV7_3,CAM1,6
SF7,STV7_3,CAM3,1
SF7,STV7_3,CAM3,2
SF7,STV7_3,CAM3,3
SF7,STV7_3,CAM3,4
SF7,STV7_3,CAM3,5
SF7,STV7_3,CAM3,6
SF8,STV7_3,CAM0,1
SF8,STV7_3,CAM0,2
SF8,STV7_3,CAM0,3
SF8,STV7_3,CAM0,4
SF8,STV7_3,CAM0,5
SF8,STV7_3,CAM0,6
F1,STV7_1,CAM2,1
F1,STV7_1,CAM2,2
F1,STV7_1,CAM2,3
F1,STV7_1,CAM2,4
F1,STV7_1,CAM2,5
F1,STV7_1,CAM2,6
F2,STV7_2,CAM5,1
F2,STV7_2,CAM5,2
F2,STV7_2,CAM5,3
F2,STV7_2,CAM5,4
F2,STV7_2,CAM5,5
F2,STV7_2,CAM5,6
F3,STV7_1,CAM1,1
F3,STV7_1,CAM1,2
F3,STV7_1,CAM1,3
F3,STV7_1,CAM1,4
F3,STV7_1,CAM1,5
F3,STV7_1,CAM1,6
F4,STV7_1,CAM0,1
F4,STV7_1,CAM0,2
F4,STV7_1,CAM0,3
F4,STV7_1,CAM0,4
F4,STV7_1,CAM0,5
F4,STV7_1,CAM0,6
S1,STV7_2,CAM7,1
S1,STV7_2,CAM7,2
S1,STV7_2,CAM7,3
S1,STV7_2,CAM7,4
S1,STV7_2,CAM7,5
S1,STV7_2,CAM7,6
S2,STV7_1,CAM3,1
S2,STV7_1,CAM3,2
S2,STV7_1,CAM3,3
S2,STV7_1,CAM3,4
S2,STV7_1,CAM3,5
S2,STV7_1,CAM3,6
S3,STV7_2,CAM6,1
S3,STV7_2,CAM6,2
S3,STV7_2,CAM6,3
S3,STV7_2,CAM6,4
S3,STV7_2,CAM6,5
S3,STV7_2,CAM6,6
S4,STV7_2,CAM4,1
S4,STV7_2,CAM4,2
S4,STV7_2,CAM4,3
S4,STV7_2,CAM4,4
S4,STV7_2,CAM4,5
S4,STV7_2,CAM4,6